method,size,round,e2e_latency,final_cache_size,utility
FS+Pre+ttl+SE+ema,50,1,1.797106398269534,31,2.857142857013961e-12
FS,50,1,1.9195162006653843,34,2.857142856323713e-12
PR,50,1,2.7272903001867235,23,1e-12
FS+Pre+ttl+SE+ema,50,2,1.8282294999808075,31,2.8571428569630195e-12
FS,50,2,2.7785033006221056,35,1e-12
PR,50,2,2.940009501762688,20,1e-12
FS+Pre+ttl+SE+ema,50,3,2.2641352000646293,27,1e-12
FS,50,3,1.939300801139325,31,2.857142855702695e-12
PR,50,3,2.5994358994066715,16,1e-12
FS+Pre+ttl+SE+ema,50,4,2.555521599482745,30,1e-12
FS,50,4,2.613367097917944,34,1e-12
PR,50,4,4.4251610999926925,19,1e-12
FS+Pre+ttl+SE+ema,50,5,2.0913578998297453,31,1e-12
FS,50,5,2.2060794001445174,34,1e-12
PR,50,5,2.40487529989332,20,1e-12
FS+Pre+ttl+SE+ema,100,1,3.306884898338467,49,1e-12
FS,100,1,3.3108277986757457,51,1e-12
PR,100,1,5.969930301420391,28,1e-12
FS+Pre+ttl+SE+ema,100,2,3.6546926982700825,45,1e-12
FS,100,2,3.644235098734498,50,1e-12
PR,100,2,6.483750100247562,27,1e-12
FS+Pre+ttl+SE+ema,100,3,3.7867232994176447,49,1e-12
FS,100,3,3.625106998719275,55,1e-12
PR,100,3,5.82519970042631,26,1e-12
FS+Pre+ttl+SE+ema,100,4,3.874649200122803,46,1e-12
FS,100,4,3.6865827003493914,49,1e-12
PR,100,4,6.005397598724812,27,1e-12
FS+Pre+ttl+SE+ema,100,5,3.4309063982218504,42,1e-12
FS,100,5,3.952413401100785,46,1e-12
PR,100,5,5.224293801933527,24,1e-12
FS+Pre+ttl+SE+ema,150,1,4.49766319943592,55,1e-12
FS,150,1,4.081963099073619,64,1e-12
PR,150,1,6.457930298522115,39,1e-12
FS+Pre+ttl+SE+ema,150,2,4.54981020046398,56,1e-12
FS,150,2,4.204939800314605,65,1e-12
PR,150,2,8.446006501559168,34,1e-12
FS+Pre+ttl+SE+ema,150,3,5.097681702580303,56,1e-12
FS,150,3,5.485748901497573,67,1e-12
PR,150,3,7.601565103046596,39,1e-12
FS+Pre+ttl+SE+ema,150,4,4.4092836026102304,57,1e-12
FS,150,4,4.692830100189894,63,1e-12
PR,150,4,6.681027800310403,34,1e-12
FS+Pre+ttl+SE+ema,150,5,4.2591598010621965,49,1e-12
FS,150,5,4.214384997263551,56,1e-12
PR,150,5,8.08942009974271,33,1e-12
FS+Pre+ttl+SE+ema,200,1,5.979388298466802,70,1e-12
FS,200,1,5.251920698210597,80,1e-12
PR,200,1,10.135133597068489,46,1e-12
FS+Pre+ttl+SE+ema,200,2,4.763069002889097,63,1e-12
FS,200,2,3.943129398860037,70,1e-12
PR,200,2,8.057362595573068,36,1e-12
FS+Pre+ttl+SE+ema,200,3,5.773294601589441,59,1e-12
FS,200,3,5.736067700665444,72,1e-12
PR,200,3,7.393907301127911,46,1e-12
FS+Pre+ttl+SE+ema,200,4,4.620607600081712,57,1e-12
FS,200,4,4.977188500575721,67,1e-12
PR,200,4,9.315688601695,37,1e-12
FS+Pre+ttl+SE+ema,200,5,4.739550898317248,62,1e-12
FS,200,5,5.260317097883672,74,1e-12
PR,200,5,7.679793000686914,47,1e-12
FS+Pre+ttl+SE+ema,300,1,6.807451700326055,71,1e-12
FS,300,1,6.161599301733077,90,1e-12
PR,300,1,13.454173901584,46,1e-12
FS+Pre+ttl+SE+ema,300,2,6.358560098800808,63,1e-12
FS,300,2,6.050043500494212,83,1e-12
PR,300,2,13.65776360500604,45,1e-12
FS+Pre+ttl+SE+ema,300,3,5.75909540290013,68,1e-12
FS,300,3,5.734714400488883,82,1e-12
PR,300,3,13.767594201024622,48,1e-12
FS+Pre+ttl+SE+ema,300,4,8.537592504639179,81,1e-12
FS,300,4,7.422771900426596,97,1e-12
PR,300,4,14.391299398615956,57,1e-12
FS+Pre+ttl+SE+ema,300,5,6.071526300162077,65,1e-12
FS,300,5,5.31786649627611,83,1e-12
PR,300,5,13.953560099937022,43,1e-12
FS+Pre+ttl+SE+ema,350,1,6.963511598296464,77,1e-12
FS,350,1,7.528146397788078,98,1e-12
PR,350,1,18.999277792871,55,1e-12
FS+Pre+ttl+SE+ema,350,2,7.203189200721681,71,1e-12
FS,350,2,6.602876001503319,90,1e-12
PR,350,2,18.155127802398056,53,1e-12
FS+Pre+ttl+SE+ema,350,3,7.335801096633077,69,1e-12
FS,350,3,7.23307709954679,95,1e-12
PR,350,3,21.72550459904596,55,1e-12
FS+Pre+ttl+SE+ema,350,4,6.660625801887363,68,1e-12
FS,350,4,6.170036099851131,85,1e-12
PR,350,4,22.95621139416471,44,1e-12
FS+Pre+ttl+SE+ema,350,5,6.90166940074414,77,1e-12
FS,350,5,5.957320195622742,96,1e-12
PR,350,5,14.312226597219706,58,1e-12
FS+Pre+ttl+SE+ema,400,1,8.104544597677886,71,1e-12
FS,400,1,5.653723700903356,91,1e-12
PR,400,1,21.13879850134253,50,1e-12
FS+Pre+ttl+SE+ema,400,2,6.664646298624575,82,1e-12
FS,400,2,5.493986699730158,98,1e-12
PR,400,2,16.083071801811457,56,1e-12
FS+Pre+ttl+SE+ema,400,3,7.083937401883304,73,1e-12
FS,400,3,6.042473699897528,96,1e-12
PR,400,3,13.71789659978822,51,1e-12
FS+Pre+ttl+SE+ema,400,4,7.020723398309201,80,1e-12
FS,400,4,5.935105098877102,96,1e-12
PR,400,4,18.643760301638395,54,1e-12
FS+Pre+ttl+SE+ema,400,5,8.268512601964176,75,1e-12
FS,400,5,6.636520201340318,96,1e-12
PR,400,5,12.99683109484613,58,1e-12
FS+Pre+ttl+SE+ema,450,1,6.874599199742079,74,1e-12
FS,450,1,5.562381397001445,94,1e-12
PR,450,1,20.21353009995073,55,1e-12
FS+Pre+ttl+SE+ema,450,2,7.007249001879245,74,1e-12
FS,450,2,6.219442000146955,101,1e-12
PR,450,2,17.88796210102737,60,1e-12
FS+Pre+ttl+SE+ema,450,3,7.711721797008067,82,1e-12
FS,450,3,7.187173695769161,108,1e-12
PR,450,3,21.894286297261715,63,1e-12
FS+Pre+ttl+SE+ema,450,4,8.26113519910723,69,1e-12
FS,450,4,5.95669769635424,93,1e-12
PR,450,4,22.77074279822409,55,1e-12
FS+Pre+ttl+SE+ema,450,5,6.705814698245376,75,1e-12
FS,450,5,5.856093801558018,100,1e-12
PR,450,5,14.500352198723704,59,1e-12
FS+Pre+ttl+SE+ema,500,1,8.088784400839359,88,1e-12
FS,500,1,7.212753200437874,111,1e-12
PR,500,1,21.15145169897005,64,1e-12
FS+Pre+ttl+SE+ema,500,2,8.135052798781544,79,1e-12
FS,500,2,7.155728103592992,103,1e-12
PR,500,2,16.919494906440377,56,1e-12
FS+Pre+ttl+SE+ema,500,3,8.312601602170616,85,1e-12
FS,500,3,6.54784509819001,106,1e-12
PR,500,3,20.69512880081311,60,1e-12
FS+Pre+ttl+SE+ema,500,4,8.16193410102278,78,1e-12
FS,500,4,5.992768600117415,98,1e-12
PR,500,4,23.37929270369932,53,1e-12
FS+Pre+ttl+SE+ema,500,5,8.40921409521252,86,1e-12
FS,500,5,9.113479298073798,110,1e-12
PR,500,5,19.38638739613816,65,1e-12
